date,vnindex,market_liquidity_bil_vnd,market_margin_bil_vnd,market_share_pct
2025-01-01,1264.12,16491.0,180521.0,6.16
2025-01-02,1261.0,15755.0,181070.0,6.18
2025-01-03,1261.86,16020.0,180867.0,6.23
2025-01-04,1265.72,17523.0,180396.0,6.18
2025-01-05,1260.01,16889.0,180425.0,6.34
2025-01-06,1260.62,18566.0,179645.0,6.32
2025-01-07,1261.22,15878.0,179954.0,6.34
2025-01-08,1247.78,20713.0,180230.0,6.42
2025-01-09,1256.52,21615.0,179636.0,6.4
2025-01-10,1261.92,16311.0,179739.0,6.39
2025-01-11,1257.52,13057.0,180557.0,6.32
2025-01-12,1256.75,20590.0,181371.0,6.28
2025-01-13,1261.39,22047.0,182148.0,6.49
2025-01-14,1259.9,17496.0,182113.0,6.26
2025-01-15,1258.56,13570.0,181946.0,6.27
2025-01-16,1247.53,19011.0,181742.0,6.26
2025-01-17,1252.57,23419.0,182227.0,6.35
2025-01-18,1254.16,11521.0,183944.0,6.38
2025-01-19,1256.96,19766.0,184997.0,6.43
2025-01-20,1245.34,17001.0,186177.0,6.34
2025-01-21,1259.15,15109.0,187192.0,6.23
2025-01-22,1260.98,19852.0,186133.0,6.4
2025-01-23,1258.49,13568.0,186063.0,6.46
2025-01-24,1275.32,19158.0,185830.0,6.39
2025-01-25,1275.56,22721.0,186775.0,6.39
2025-01-26,1264.55,18748.0,188026.0,6.45
2025-01-27,1261.91,15067.0,187632.0,6.53
2025-01-28,1244.2,11912.0,187729.0,6.41
2025-01-29,1253.2,13658.0,188189.0,6.31
2025-01-30,1250.47,11706.0,187917.0,6.39
2025-01-31,1245.13,23754.0,187547.0,6.43
2025-02-01,1254.31,17287.0,187143.0,6.3
2025-02-02,1241.7,14508.0,187832.0,6.51
2025-02-03,1246.58,13627.0,187266.0,6.4
2025-02-04,1230.66,14441.0,188130.0,6.5
2025-02-05,1225.97,17006.0,188261.0,6.48
2025-02-06,1216.93,13697.0,188857.0,6.45
2025-02-07,1229.23,24059.0,190009.0,6.61
2025-02-08,1243.96,15581.0,189611.0,6.44
2025-02-09,1241.92,15463.0,189109.0,6.44
2025-02-10,1249.25,19284.0,189478.0,6.52
2025-02-11,1248.41,23289.0,188826.0,6.57
2025-02-12,1253.55,22851.0,188385.0,6.5
2025-02-13,1248.13,16515.0,188375.0,6.43
2025-02-14,1235.06,19122.0,188555.0,6.57
2025-02-15,1221.24,18755.0,187755.0,6.56
2025-02-16,1224.9,20093.0,187557.0,6.69
2025-02-17,1243.49,19138.0,188035.0,6.51
2025-02-18,1246.24,14945.0,189045.0,6.54
2025-02-19,1242.64,13843.0,187743.0,6.48
2025-02-20,1258.54,18874.0,188726.0,6.41
2025-02-21,1261.04,14122.0,189412.0,6.54
2025-02-22,1262.45,23040.0,188724.0,6.61
2025-02-23,1265.07,18414.0,187767.0,6.46
2025-02-24,1264.61,14688.0,188129.0,6.49
2025-02-25,1262.74,17159.0,187906.0,6.45
2025-02-26,1251.86,16514.0,188071.0,6.65
2025-02-27,1256.47,17836.0,188742.0,6.5
2025-02-28,1256.31,21611.0,188552.0,6.59
2025-03-01,1266.46,13250.0,188735.0,6.48
2025-03-02,1264.11,11774.0,189137.0,6.56
2025-03-03,1249.45,19499.0,189827.0,6.5
2025-03-04,1249.26,17700.0,191125.0,6.36
2025-03-05,1263.45,18897.0,192382.0,6.56
2025-03-06,1260.99,19887.0,192620.0,6.59
2025-03-07,1254.47,17703.0,192525.0,6.38
2025-03-08,1245.52,21141.0,194249.0,6.53
2025-03-09,1237.72,15221.0,194766.0,6.51
2025-03-10,1235.92,18577.0,195134.0,6.46
2025-03-11,1227.08,15449.0,194437.0,6.53
2025-03-12,1239.66,14408.0,195049.0,6.39
2025-03-13,1238.0,20522.0,194578.0,6.56
2025-03-14,1239.47,20364.0,194329.0,6.64
2025-03-15,1251.57,11581.0,193469.0,6.44
2025-03-16,1264.2,14456.0,193178.0,6.53
2025-03-17,1263.1,19410.0,193292.0,6.65
2025-03-18,1266.35,22139.0,192317.0,6.54
2025-03-19,1272.83,16068.0,191764.0,6.49
2025-03-20,1271.89,17760.0,191780.0,6.45
2025-03-21,1258.27,13462.0,190971.0,6.54
2025-03-22,1264.1,27202.0,190169.0,6.51
2025-03-23,1271.86,20082.0,189659.0,6.57
2025-03-24,1275.78,21556.0,188749.0,6.39
2025-03-25,1268.99,20733.0,189248.0,6.59
2025-03-26,1268.03,21701.0,188626.0,6.47
2025-03-27,1263.9,20568.0,189232.0,6.55
2025-03-28,1262.1,17272.0,189947.0,6.44
2025-03-29,1273.08,21054.0,189182.0,6.38
2025-03-30,1285.91,18732.0,189281.0,6.44
2025-03-31,1291.87,22999.0,189017.0,6.4
2025-04-01,1296.86,15891.0,188295.0,6.44
2025-04-02,1302.87,16577.0,188131.0,6.52
2025-04-03,1303.37,20790.0,188033.0,6.55
2025-04-04,1303.37,22960.0,188599.0,6.47
2025-04-05,1298.58,18995.0,189384.0,6.41
2025-04-06,1298.73,15998.0,188687.0,6.41
2025-04-07,1317.41,18081.0,188474.0,6.48
2025-04-08,1324.96,16758.0,188914.0,6.52
2025-04-09,1322.83,25146.0,189806.0,6.4
2025-04-10,1319.65,21658.0,188172.0,6.41
2025-04-11,1313.34,22943.0,189134.0,6.35
2025-04-12,1316.93,19578.0,189087.0,6.42
2025-04-13,1320.66,16585.0,190227.0,6.47
2025-04-14,1309.72,22640.0,190001.0,6.16
2025-04-15,1314.21,24327.0,189491.0,6.4
2025-04-16,1310.25,20580.0,189592.0,6.33
2025-04-17,1322.27,18464.0,190479.0,6.18
2025-04-18,1324.12,22337.0,190570.0,6.38
2025-04-19,1338.46,17260.0,188994.0,6.34
2025-04-20,1335.4,21240.0,189542.0,6.37
2025-04-21,1333.7,16079.0,188488.0,6.22
2025-04-22,1336.69,15178.0,187874.0,6.5
2025-04-23,1345.74,20562.0,187133.0,6.33
2025-04-24,1350.87,19768.0,185918.0,6.28
2025-04-25,1341.6,25255.0,185113.0,6.42
2025-04-26,1343.66,17615.0,184493.0,6.34
2025-04-27,1344.44,18682.0,184135.0,6.35
2025-04-28,1341.61,14616.0,184168.0,6.37
2025-04-29,1337.02,12068.0,184004.0,6.1
2025-04-30,1351.6,12383.0,183038.0,6.39
2025-05-01,1349.08,20242.0,182981.0,6.22
2025-05-02,1342.91,14508.0,183732.0,6.26
2025-05-03,1348.61,22575.0,184465.0,6.31
2025-05-04,1350.26,23615.0,184630.0,6.17
2025-05-05,1350.25,17643.0,185133.0,6.24
2025-05-06,1357.1,24451.0,185828.0,6.27
2025-05-07,1361.61,19447.0,186851.0,6.19
2025-05-08,1365.11,22595.0,188108.0,6.23
2025-05-09,1373.42,17873.0,187954.0,6.05
2025-05-10,1376.29,22025.0,187834.0,6.08
2025-05-11,1371.95,15371.0,188935.0,6.07
2025-05-12,1369.66,20857.0,190098.0,6.18
2025-05-13,1366.09,17076.0,191246.0,6.44
2025-05-14,1368.37,18231.0,189676.0,6.16
2025-05-15,1360.34,20905.0,189592.0,6.12
2025-05-16,1346.28,19303.0,187383.0,6.11
2025-05-17,1347.59,18444.0,187964.0,6.19
2025-05-18,1337.5,21256.0,188073.0,6.16
2025-05-19,1322.48,21526.0,188179.0,6.0
2025-05-20,1326.07,13872.0,188153.0,6.17
2025-05-21,1320.98,20681.0,189135.0,6.08
2025-05-22,1325.55,21078.0,189000.0,6.13
2025-05-23,1321.9,16104.0,189793.0,5.9
2025-05-24,1313.52,20090.0,190251.0,5.93
2025-05-25,1304.18,14111.0,190571.0,6.09
2025-05-26,1300.66,23788.0,190965.0,5.89
2025-05-27,1299.07,17924.0,191112.0,6.06
2025-05-28,1293.08,18486.0,190416.0,6.05
2025-05-29,1291.43,22957.0,190988.0,6.03
2025-05-30,1279.74,18272.0,191557.0,6.04
2025-05-31,1280.46,20873.0,191526.0,6.02
2025-06-01,1266.71,15116.0,192108.0,6.03
2025-06-02,1265.76,16793.0,192807.0,5.95
2025-06-03,1271.94,13918.0,191980.0,5.98
2025-06-04,1281.27,18068.0,191951.0,6.21
2025-06-05,1295.59,22411.0,191710.0,6.06
2025-06-06,1283.74,19590.0,191147.0,6.01
2025-06-07,1290.41,21908.0,191442.0,5.98
2025-06-08,1300.66,15226.0,190922.0,5.89
2025-06-09,1309.1,15732.0,190688.0,5.96
2025-06-10,1302.27,17199.0,190930.0,5.92
2025-06-11,1306.16,20837.0,191245.0,6.01
2025-06-12,1321.64,20086.0,191540.0,5.85
2025-06-13,1310.27,18790.0,193174.0,5.73
2025-06-14,1314.68,21028.0,192891.0,5.87
2025-06-15,1324.17,18324.0,193136.0,5.96
2025-06-16,1319.2,18784.0,192362.0,6.1
2025-06-17,1324.47,23431.0,192769.0,5.98
2025-06-18,1316.5,16818.0,193646.0,5.82
2025-06-19,1310.6,19514.0,194566.0,5.87
2025-06-20,1304.66,24522.0,194191.0,5.81
2025-06-21,1306.8,19242.0,194065.0,5.87
2025-06-22,1306.67,21363.0,195019.0,5.81
2025-06-23,1314.91,16772.0,195024.0,5.74
2025-06-24,1307.98,25748.0,195765.0,5.91
2025-06-25,1307.53,11032.0,195154.0,5.89
2025-06-26,1315.82,14941.0,196192.0,5.85
2025-06-27,1320.91,15228.0,196981.0,5.89
2025-06-28,1310.91,24591.0,197376.0,6.02
2025-06-29,1316.83,20160.0,196887.0,5.87
2025-06-30,1313.61,18014.0,196846.0,5.83
2025-07-01,1317.29,14451.0,197021.0,5.93
2025-07-02,1320.3,20216.0,197276.0,5.72
2025-07-03,1330.65,19346.0,197272.0,5.91
2025-07-04,1332.18,16527.0,197190.0,5.79
2025-07-05,1317.95,13737.0,197394.0,5.79
2025-07-06,1307.59,15103.0,198441.0,5.86
2025-07-07,1314.04,19715.0,197106.0,5.98
2025-07-08,1312.58,20062.0,196215.0,5.79
2025-07-09,1322.28,19234.0,195204.0,5.93
2025-07-10,1325.07,18453.0,194793.0,5.88
2025-07-11,1319.67,12798.0,193645.0,5.74
2025-07-12,1328.93,19164.0,194102.0,5.92
2025-07-13,1323.07,15385.0,194239.0,5.79
2025-07-14,1307.25,19150.0,194131.0,5.74
2025-07-15,1324.36,20637.0,193724.0,5.79
2025-07-16,1309.68,16649.0,193904.0,5.8
2025-07-17,1315.37,15439.0,194099.0,5.91
2025-07-18,1323.48,22502.0,194400.0,5.8
2025-07-19,1325.26,20261.0,193960.0,5.98
2025-07-20,1312.39,16807.0,194484.0,5.88
2025-07-21,1321.11,8539.0,193526.0,5.81
2025-07-22,1310.18,18874.0,194471.0,5.8
2025-07-23,1300.03,21253.0,192387.0,5.89
2025-07-24,1297.73,22981.0,192042.0,5.71
2025-07-25,1304.64,16689.0,191270.0,5.71
2025-07-26,1307.64,16816.0,191893.0,5.81
2025-07-27,1314.73,17521.0,190923.0,5.94
2025-07-28,1311.78,22009.0,192269.0,5.91
2025-07-29,1311.0,14970.0,191257.0,5.9
2025-07-30,1302.51,18692.0,192747.0,5.88
2025-07-31,1300.57,15852.0,193131.0,5.73
2025-08-01,1305.92,20037.0,193222.0,5.88
2025-08-02,1304.12,13661.0,193597.0,5.77
2025-08-03,1308.52,20424.0,195202.0,5.99
2025-08-04,1304.54,17375.0,195897.0,5.92
2025-08-05,1300.4,18334.0,194404.0,5.92
2025-08-06,1301.31,20963.0,195310.0,5.97
2025-08-07,1300.35,23132.0,195542.0,5.97
2025-08-08,1305.69,13194.0,194480.0,5.97
2025-08-09,1307.72,22651.0,195083.0,5.98
2025-08-10,1322.24,21097.0,194305.0,5.91
2025-08-11,1321.08,18118.0,194502.0,5.86
2025-08-12,1319.86,24068.0,194735.0,6.0
2025-08-13,1312.14,19820.0,194351.0,6.09
